system:index,elevation_m,index,latitude,longitude,pet_mm,pr_annual_range_mm_mean,pr_mm,temp_annual_range_C_mean,tmean_C,vpd_kPa,.geo
00000000000000000002_0,896,2.0,-27.030000401736086,21.250002138733205,1587.5669934640523,80.03921568627452,21.00980392156863,352.2549019607843,205.97794,190.94771241830065,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008_0,422,3.0,-27.82999880353271,123.54000112346132,1795.7859477124182,55.19607843137255,16.90686274509804,328.84313725490193,210.12337,193.36274509803923,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009_0,444,4.0,-28.23999976809389,123.59999832813544,1761.1830065359477,55.84313725490196,17.936274509803923,323.47058823529414,205.56699,185.48039215686273,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a_0,398,5.0,-28.10000183141991,123.90000218791023,1779.9967320261437,54.450980392156865,17.513071895424837,328.4117647058824,207.40442,187.95915032679738,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b_0,338,6.0,-28.500001032318224,125.82999922406479,1811.1274509803923,46.294117647058826,16.875816993464053,324.27450980392155,207.21161,186.68627450980392,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c_0,494,7.0,-28.50000103231822,122.66999929422667,1702.2189542483661,57.64705882352941,18.529411764705884,319.72549019607845,199.21161,177.5735294117647,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d_0,436,8.0,-28.20000163164448,123.59999832813544,1776.9035947712418,55.6078431372549,17.857843137254903,325.6862745098039,207.59477,188.9264705882353,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000034_0,1884,9.0,36.95000198769921,-116.26000139798873,1344.638888888889,56.03921568627451,17.320261437908496,360.5098039215686,112.367645,121.00326797385621,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000076_0,967,10.0,-26.280001900051758,22.260001904641854,1640.1470588235295,90.17647058823529,25.965686274509803,342.62745098039215,217.41994,201.7450980392157,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000da_0,1019,11.0,-28.23999976809389,22.10000044064211,1567.3333333333333,85.07843137254902,23.62908496732026,328.29411764705884,198.54738,177.81209150326796,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e2_0,967,12.0,-26.330001800164048,19.83999871282519,1598.75,70.50980392156863,15.820261437908497,355.29411764705884,201.7165,190.37581699346404,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e3_0,967,13.0,-26.280001900051758,22.260001904641854,1640.1470588235295,90.17647058823529,25.965686274509803,342.62745098039215,217.41994,201.7450980392157,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001e5_0,952,14.0,-25.77999843982782,20.5999989781724,1593.375816993464,80.54901960784314,20.25326797385621,355.7843137254902,205.79903,190.08169934640523,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001ef_0,952,15.0,-25.77999843982782,20.5999989781724,1593.375816993464,80.54901960784314,20.25326797385621,355.7843137254902,205.79903,190.08169934640523,"{""type"":""MultiPoint"",""coordinates"":[]}"
